/ershoufang/baishi/,白石,422,818
/ershoufang/ermalu/,二马路,721,1887
/ershoufang/fenghuangtai/,凤凰台,863,615
/ershoufang/houan/,厚安,544,2217
/ershoufang/houqikuang/,后七夼,255,2089
/ershoufang/huanghai/,黄海,179,10004
/ershoufang/huangwu/,黄务,357,6498
/ershoufang/huian/,惠安,435,27615
/ershoufang/jiefanglu1/,解放路,455,35034
/ershoufang/kuiyulu/,魁玉路,258,7419
/ershoufang/laishanzhoubian/,莱山周边,307,2065
/ershoufang/nanjiang/,南塂,249,377719
/ershoufang/nantonglu/,南通路,152,43685
/ershoufang/sanshui2/,三水,86,873
/ershoufang/sanzhan/,三站,639,9258
/ershoufang/shangkuang/,上夼,737,19331
/ershoufang/shanhainanlu/,山海南路,524,203262
/ershoufang/shihuiyao/,世回尧,374,12223
/ershoufang/tongshinanlu/,通世南路,218,13055
/ershoufang/wenhualu/,文化路,267,5697
/ershoufang/xingfu/,幸福,850,3814
/ershoufang/xinqiao1/,新桥,248,36246
/ershoufang/yuhuangding/,毓璜顶,490,2647
/ershoufang/zhenhua/,振华,144,2478
